Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1649,321,110,3,3.5,5,8.85,1,0.82
1650,327,111,4,3,4,8.4,1,0.78
1651,313,98,3,2.5,4.5,8.3,1,0.76
1652,312,100,2,1.5,3.5,7.9,1,0.56
1653,334,116,4,4,3,8,1,0.78
1654,324,112,4,4,2.5,8.1,1,0.72
1655,322,110,3,3,3.5,8,0,0.7
1656,320,103,3,3,3,7.7,0,0.64
1657,316,102,3,2,3,7.4,0,0.64
1658,298,99,2,4,2,7.6,0,0.46
1659,300,99,1,3,2,6.8,1,0.36
1660,311,104,2,2,2,8.3,0,0.42
1661,309,100,2,3,3,8.1,0,0.48
1662,307,101,3,4,3,8.2,0,0.47
1663,304,105,2,3,3,8.2,1,0.54
1664,315,107,2,4,3,8.5,1,0.56
1665,325,111,3,3,3.5,8.7,0,0.52
1666,325,112,4,3.5,3.5,8.92,0,0.55
1667,327,114,3,3,3,9.02,0,0.61
1668,316,107,2,3.5,3.5,8.64,1,0.57
1669,318,109,3,3.5,4,9.22,1,0.68
1670,328,115,4,4.5,4,9.16,1,0.78
1671,332,118,5,5,5,9.64,1,0.94
1672,336,112,5,5,5,9.76,1,0.96
1673,321,111,5,5,5,9.45,1,0.93
1674,314,108,4,4.5,4,9.04,1,0.84
1675,314,106,3,3,5,8.9,0,0.74
1676,329,114,2,2,4,8.56,1,0.72
1677,327,112,3,3,3,8.72,1,0.74
1678,301,99,2,3,2,8.22,0,0.64
1679,296,95,2,3,2,7.54,1,0.44
1680,294,93,1,1.5,2,7.36,0,0.46
1681,312,105,3,2,3,8.02,1,0.5
1682,340,120,4,5,5,9.5,1,0.96
1683,320,110,5,5,4.5,9.22,1,0.92
1684,322,115,5,4,4.5,9.36,1,0.92
1685,340,115,5,4.5,4.5,9.45,1,0.94
1686,319,103,4,4.5,3.5,8.66,0,0.76
1687,315,106,3,4.5,3.5,8.42,0,0.72
1688,317,107,2,3.5,3,8.28,0,0.66
1689,314,108,3,4.5,3.5,8.14,0,0.64
1690,316,109,4,4.5,3.5,8.76,1,0.74
1691,318,106,2,4,4,7.92,1,0.64
1692,299,97,3,5,3.5,7.66,0,0.38
1693,298,98,2,4,3,8.03,0,0.34
1694,301,97,2,3,3,7.88,1,0.44
1695,303,99,3,2,2.5,7.66,0,0.36
1696,304,100,4,1.5,2.5,7.84,0,0.42
1697,306,100,2,3,3,8,0,0.48
1698,331,120,3,4,4,8.96,1,0.86
1699,332,119,4,5,4.5,9.24,1,0.9
1700,323,113,3,4,4,8.88,1,0.79
1701,322,107,3,3.5,3.5,8.46,1,0.71
1702,312,105,2,2.5,3,8.12,0,0.64
1703,314,106,2,4,3.5,8.25,0,0.62
1704,317,104,2,4.5,4,8.47,0,0.57
1705,326,112,3,3.5,3,9.05,1,0.74
1706,316,110,3,4,4.5,8.78,1,0.69
1707,329,111,4,4.5,4.5,9.18,1,0.87
1708,338,117,4,3.5,4.5,9.46,1,0.91
1709,331,116,5,5,5,9.38,1,0.93
1710,304,103,5,5,4,8.64,0,0.68
1711,305,108,5,3,3,8.48,0,0.61
1712,321,109,4,4,4,8.68,1,0.69
1713,301,107,3,3.5,3.5,8.34,1,0.62
1714,320,110,2,4,3.5,8.56,0,0.72
1715,311,105,3,3.5,3,8.45,1,0.59
1716,310,106,4,4.5,4.5,9.04,1,0.66
1717,299,102,3,4,3.5,8.62,0,0.56
1718,290,104,4,2,2.5,7.46,0,0.45
1719,296,99,2,3,3.5,7.28,0,0.47
1720,327,104,5,3,3.5,8.84,1,0.71
1721,335,117,5,5,5,9.56,1,0.94
1722,334,119,5,4.5,4.5,9.48,1,0.94
1723,310,106,4,1.5,2.5,8.36,0,0.57
1724,308,108,3,3.5,3.5,8.22,0,0.61
1725,301,106,4,2.5,3,8.47,0,0.57
1726,300,100,3,2,3,8.66,1,0.64
1727,323,113,3,4,3,9.32,1,0.85
1728,319,112,3,2.5,2,8.71,1,0.78
1729,326,112,3,3.5,3,9.1,1,0.84
1730,333,118,5,5,5,9.35,1,0.92
1731,339,114,5,4,4.5,9.76,1,0.96
1732,303,105,5,5,4.5,8.65,0,0.77
1733,309,105,5,3.5,3.5,8.56,0,0.71
1734,323,112,5,4,4.5,8.78,0,0.79
1735,333,113,5,4,4,9.28,1,0.89
1736,314,109,4,3.5,4,8.77,1,0.82
1737,312,103,3,5,4,8.45,0,0.76
1738,316,100,2,1.5,3,8.16,1,0.71
1739,326,116,2,4.5,3,9.08,1,0.8
1740,318,109,1,3.5,3.5,9.12,0,0.78
1741,329,110,2,4,3,9.15,1,0.84
1742,332,118,2,4.5,3.5,9.36,1,0.9
1743,331,115,5,4,3.5,9.44,1,0.92
1744,340,120,4,4.5,4,9.92,1,0.97
1745,325,112,2,3,3.5,8.96,1,0.8
1746,320,113,2,2,2.5,8.64,1,0.81
1747,315,105,3,2,2.5,8.48,0,0.75
1748,326,114,3,3,3,9.11,1,0.83
1749,339,116,4,4,3.5,9.8,1,0.96
1750,311,106,2,3.5,3,8.26,1,0.79
1751,334,114,4,4,4,9.43,1,0.93
1752,332,116,5,5,5,9.28,1,0.94
1753,321,112,5,5,5,9.06,1,0.86
1754,324,105,3,3,4,8.75,0,0.79
1755,326,108,3,3,3.5,8.89,0,0.8
1756,312,109,3,3,3,8.69,0,0.77
1757,315,105,3,2,2.5,8.34,0,0.7
1758,309,104,2,2,2.5,8.26,0,0.65
1759,306,106,2,2,2.5,8.14,0,0.61
1760,297,100,1,1.5,2,7.9,0,0.52
1761,315,103,1,1.5,2,7.86,0,0.57
1762,298,99,1,1.5,3,7.46,0,0.53
1763,318,109,3,3,3,8.5,0,0.67
1764,317,105,3,3.5,3,8.56,0,0.68
1765,329,111,4,4.5,4,9.01,1,0.81
1766,322,110,5,4.5,4,8.97,0,0.78
1767,302,102,3,3.5,5,8.33,0,0.65
1768,313,102,3,2,3,8.27,0,0.64
1769,293,97,2,2,4,7.8,1,0.64
1770,311,99,2,2.5,3,7.98,0,0.65
1771,312,101,2,2.5,3.5,8.04,1,0.68
1772,334,117,5,4,4.5,9.07,1,0.89
1773,322,110,4,4,5,9.13,1,0.86
1774,323,113,4,4,4.5,9.23,1,0.89
1775,321,111,4,4,4,8.97,1,0.87
1776,320,111,4,4.5,3.5,8.87,1,0.85
1777,329,119,4,4.5,4.5,9.16,1,0.9
1778,319,110,3,3.5,3.5,9.04,0,0.82
1779,309,108,3,2.5,3,8.12,0,0.72
1780,307,102,3,3,3,8.27,0,0.73
1781,300,104,3,3.5,3,8.16,0,0.71
1782,305,107,2,2.5,2.5,8.42,0,0.71
1783,299,100,2,3,3.5,7.88,0,0.68
1784,314,110,3,4,4,8.8,0,0.75
1785,316,106,2,2.5,4,8.32,0,0.72
1786,327,113,4,4.5,4.5,9.11,1,0.89
1787,317,107,3,3.5,3,8.68,1,0.84
1788,335,118,5,4.5,3.5,9.44,1,0.93
1789,331,115,5,4.5,3.5,9.36,1,0.93
1790,324,112,5,5,5,9.08,1,0.88
1791,324,111,5,4.5,4,9.16,1,0.9
1792,323,110,5,4,5,8.98,1,0.87
1793,322,114,5,4.5,4,8.94,1,0.86
1794,336,118,5,4.5,5,9.53,1,0.94
1795,316,109,3,3.5,3,8.76,0,0.77
1796,307,107,2,3,3.5,8.52,1,0.78
1797,306,105,2,3,2.5,8.26,0,0.73
1798,310,106,2,3.5,2.5,8.33,0,0.73
1799,311,104,3,4.5,4.5,8.43,0,0.7
1800,313,107,3,4,4.5,8.69,0,0.72
1801,317,103,3,2.5,3,8.54,1,0.73
1802,315,110,2,3.5,3,8.46,1,0.72
1803,340,120,5,4.5,4.5,9.91,1,0.97
1804,334,120,5,4,5,9.87,1,0.97
1805,298,105,3,3.5,4,8.54,0,0.69
1806,295,99,2,2.5,3,7.65,0,0.57
1807,315,99,2,3.5,3,7.89,0,0.63
1808,310,102,3,3.5,4,8.02,1,0.66
1809,305,106,2,3,3,8.16,0,0.64
1810,301,104,3,3.5,4,8.12,1,0.68
1811,325,108,4,4.5,4,9.06,1,0.79
1812,328,110,4,5,4,9.14,1,0.82
1813,338,120,4,5,5,9.66,1,0.95
1814,333,119,5,5,4.5,9.78,1,0.96
1815,331,117,4,4.5,5,9.42,1,0.94
1816,330,116,5,5,4.5,9.36,1,0.93
1817,322,112,4,4.5,4.5,9.26,1,0.91
1818,321,109,4,4,4,9.13,1,0.85
1819,324,110,4,3,3.5,8.97,1,0.84
1820,312,104,3,3.5,3.5,8.42,0,0.74
1821,313,103,3,4,4,8.75,0,0.76
1822,316,110,3,3.5,4,8.56,0,0.75
1823,324,113,4,4.5,4,8.79,0,0.76
1824,308,109,2,3,4,8.45,0,0.71
1825,305,105,2,3,2,8.23,0,0.67
1826,296,99,2,2.5,2.5,8.03,0,0.61
1827,306,110,2,3.5,4,8.45,0,0.63
1828,312,110,2,3.5,3,8.53,0,0.64
1829,318,112,3,4,3.5,8.67,0,0.71
1830,324,111,4,3,3,9.01,1,0.82
1831,313,104,3,4,4.5,8.65,0,0.73
1832,319,106,3,3.5,2.5,8.33,1,0.74
1833,312,107,2,2.5,3.5,8.27,0,0.69
1834,304,100,2,2.5,3.5,8.07,0,0.64
1835,330,113,5,5,4,9.31,1,0.91
1836,326,111,5,4.5,4,9.23,1,0.88
1837,325,112,4,4,4.5,9.17,1,0.85
1838,329,114,5,4.5,5,9.19,1,0.86
1839,310,104,3,2,3.5,8.37,0,0.7
1840,299,100,1,1.5,2,7.89,0,0.59
1841,296,101,1,2.5,3,7.68,0,0.6
1842,317,103,2,2.5,2,8.15,0,0.65
1843,324,115,3,3.5,3,8.76,1,0.7
1844,325,114,3,3.5,3,9.04,1,0.76
1845,314,107,2,2.5,4,8.56,0,0.63
1846,328,110,4,4,2.5,9.02,1,0.81
1847,316,105,3,3,3.5,8.73,0,0.72
1848,311,104,2,2.5,3.5,8.48,0,0.71
1849,324,110,3,3.5,4,8.87,1,0.8
1850,321,111,3,3.5,4,8.83,1,0.77
1851,320,104,3,3,2.5,8.57,1,0.74
1852,316,99,2,2.5,3,9,0,0.7
1853,318,100,2,2.5,3.5,8.54,1,0.71
1854,335,115,4,4.5,4.5,9.68,1,0.93
1855,321,114,4,4,5,9.12,0,0.85
1856,307,110,4,4,4.5,8.37,0,0.79
1857,309,99,3,4,4,8.56,0,0.76
1858,324,100,3,4,5,8.64,1,0.78
1859,326,102,4,5,5,8.76,1,0.77
1860,331,119,4,5,4.5,9.34,1,0.9
1861,327,108,5,5,3.5,9.13,1,0.87
1862,312,104,3,3.5,4,8.09,0,0.71
1863,308,103,2,2.5,4,8.36,1,0.7
1864,324,111,3,2.5,1.5,8.79,1,0.7
1865,325,110,2,3,2.5,8.76,1,0.75
1866,313,102,3,2.5,2.5,8.68,0,0.71
1867,312,105,2,2,2.5,8.45,0,0.72
1868,314,107,3,3,3.5,8.17,1,0.73
1869,327,113,4,4.5,5,9.14,0,0.83
1870,308,108,4,4.5,5,8.34,0,0.77
1871,306,105,2,2.5,3,8.22,1,0.72
1872,299,96,2,1.5,2,7.86,0,0.54
1873,294,95,1,1.5,1.5,7.64,0,0.49
1874,312,99,1,1,1.5,8.01,1,0.52
1875,315,100,1,2,2.5,7.95,0,0.58
1876,322,110,3,3.5,3,8.96,1,0.78
1877,329,113,5,5,4.5,9.45,1,0.89
1878,320,101,2,2.5,3,8.62,0,0.7
1879,308,103,2,3,3.5,8.49,0,0.66
1880,304,102,2,3,4,8.73,0,0.67
1881,311,102,3,4.5,4,8.64,1,0.68
1882,317,110,3,4,4.5,9.11,1,0.8
1883,312,106,3,4,3.5,8.79,1,0.81
1884,321,111,3,2.5,3,8.9,1,0.8
1885,340,112,4,5,4.5,9.66,1,0.94
1886,331,116,5,4,4,9.26,1,0.93
1887,336,118,5,4.5,4,9.19,1,0.92
1888,324,114,5,5,4.5,9.08,1,0.89
1889,314,104,4,5,5,9.02,0,0.82
1890,313,109,3,4,3.5,9,0,0.79
1891,307,105,2,2.5,3,7.65,0,0.58
1892,300,102,2,1.5,2,7.87,0,0.56
1893,302,99,2,1,2,7.97,0,0.56
1894,312,98,1,3.5,3,8.18,1,0.64
1895,316,101,2,2.5,2,8.32,1,0.61
1896,317,100,2,3,2.5,8.57,0,0.68
1897,310,107,3,3.5,3.5,8.67,0,0.76
1898,320,120,3,4,4.5,9.11,0,0.86
1899,330,114,3,4.5,4.5,9.24,1,0.9
1900,305,112,3,3,3.5,8.65,0,0.71
1901,309,106,2,2.5,2.5,8,0,0.62
1902,319,108,2,2.5,3,8.76,0,0.66
1903,322,105,2,3,3,8.45,1,0.65
1904,323,107,3,3.5,3.5,8.55,1,0.73
1905,313,106,2,2.5,2,8.43,0,0.62
1906,321,109,3,3.5,3.5,8.8,1,0.74
1907,323,110,3,4,3.5,9.1,1,0.79
1908,325,112,4,4,4,9,1,0.8
1909,312,108,3,3.5,3,8.53,0,0.69
1910,308,110,4,3.5,3,8.6,0,0.7
1911,320,104,3,3,3.5,8.74,1,0.76
1912,328,108,4,4.5,4,9.18,1,0.84
1913,311,107,4,4.5,4.5,9,1,0.78
1914,301,100,3,3.5,3,8.04,0,0.67
1915,305,105,2,3,4,8.13,0,0.66
1916,308,104,2,2.5,3,8.07,0,0.65
1917,298,101,2,1.5,2,7.86,0,0.54
1918,300,99,1,1,2.5,8.01,0,0.58
1919,324,111,3,2.5,2,8.8,1,0.79
1920,327,113,4,3.5,3,8.69,1,0.8
1921,317,106,3,4,3.5,8.5,1,0.75
1922,323,104,3,4,4,8.44,1,0.73
1923,314,107,2,2.5,4,8.27,0,0.72
1924,305,102,2,2,2.5,8.18,0,0.62
1925,315,104,3,3,2.5,8.33,0,0.67
1926,326,116,3,3.5,4,9.14,1,0.81
1927,299,100,3,2,2,8.02,0,0.63
1928,295,101,2,2.5,2,7.86,0,0.69
1929,324,112,4,4,3.5,8.77,1,0.8
1930,297,96,2,2.5,1.5,7.89,0,0.43
1931,327,113,3,3.5,3,8.66,1,0.8
1932,311,105,2,3,2,8.12,1,0.73
1933,308,106,3,3.5,2.5,8.21,1,0.75
1934,319,108,3,3,3.5,8.54,1,0.71
1935,312,107,4,4.5,4,8.65,1,0.73
1936,325,111,4,4,4.5,9.11,1,0.83
1937,319,110,3,3,2.5,8.79,0,0.72
1938,332,118,5,5,5,9.47,1,0.94
1939,323,108,5,4,4,8.74,1,0.81
1940,324,107,5,3.5,4,8.66,1,0.81
1941,312,107,3,3,3,8.46,1,0.75
1942,326,110,3,3.5,3.5,8.76,1,0.79
1943,308,106,3,3,3,8.24,0,0.58
1944,305,103,2,2.5,3.5,8.13,0,0.59
1945,295,96,2,1.5,2,7.34,0,0.47
1946,316,98,1,1.5,2,7.43,0,0.49
1947,304,97,2,1.5,2,7.64,0,0.47
1948,299,94,1,1,1,7.34,0,0.42
1949,302,99,1,2,2,7.25,0,0.57
1950,313,101,3,2.5,3,8.04,0,0.62
1951,318,107,3,3,3.5,8.27,1,0.74
1952,325,110,4,3.5,4,8.67,1,0.73
1953,303,100,2,3,3.5,8.06,1,0.64
1954,300,102,3,3.5,2.5,8.17,0,0.63
1955,297,98,2,2.5,3,7.67,0,0.59
1956,317,106,2,2,3.5,8.12,0,0.73
1957,327,109,3,3.5,4,8.77,1,0.79
1958,301,104,2,3.5,3.5,7.89,1,0.68
1959,314,105,2,2.5,2,7.64,0,0.7
1960,321,107,2,2,1.5,8.44,0,0.81
1961,322,110,3,4,5,8.64,1,0.85
1962,334,116,4,4,3.5,9.54,1,0.93
1963,338,115,5,4.5,5,9.23,1,0.91
1964,306,103,2,2.5,3,8.36,0,0.69
1965,313,102,3,3.5,4,8.9,1,0.77
1966,330,114,4,4.5,3,9.17,1,0.86
1967,320,104,3,3.5,4.5,8.34,1,0.74
1968,311,98,1,1,2.5,7.46,0,0.57
1969,298,92,1,2,2,7.88,0,0.51
1970,301,98,1,2,3,8.03,1,0.67
1971,310,103,2,2.5,2.5,8.24,0,0.72
1972,324,110,3,3.5,3,9.22,1,0.89
1973,336,119,4,4.5,4,9.62,1,0.95
1974,321,109,3,3,3,8.54,1,0.79
1975,315,105,2,2,2.5,7.65,0,0.39
1976,304,101,2,2,2.5,7.66,0,0.38
1977,297,96,2,2.5,2,7.43,0,0.34
1978,290,100,1,1.5,2,7.56,0,0.47
1979,303,98,1,2,2.5,7.65,0,0.56
1980,311,99,1,2.5,3,8.43,1,0.71
1981,322,104,3,3.5,4,8.84,1,0.78
1982,319,105,3,3,3.5,8.67,1,0.73
1983,324,110,4,4.5,4,9.15,1,0.82
1984,300,100,3,3,3.5,8.26,0,0.62
1985,340,113,4,5,5,9.74,1,0.96
1986,335,117,5,5,5,9.82,1,0.96
1987,302,101,2,2.5,3.5,7.96,0,0.46
1988,307,105,2,2,3.5,8.1,0,0.53
1989,296,97,2,1.5,2,7.8,0,0.49
1990,320,108,3,3.5,4,8.44,1,0.76
1991,314,102,2,2,2.5,8.24,0,0.64
1992,318,106,3,2,3,8.65,0,0.71
1993,326,112,4,4,3.5,9.12,1,0.84
1994,317,104,2,3,3,8.76,0,0.77
1995,329,111,4,4.5,4,9.23,1,0.89
1996,324,110,3,3.5,3.5,9.04,1,0.82
1997,325,107,3,3,3.5,9.11,1,0.84
1998,330,116,4,5,4.5,9.45,1,0.91
1999,312,103,3,3.5,4,8.78,0,0.67
2000,333,117,4,5,4,9.66,1,0.95
2001,337,118,4,4.5,4.5,9.65,1,0.92
2002,324,107,4,4,4.5,8.87,1,0.76
2003,316,104,3,3,3.5,8,1,0.72
2004,322,110,3,3.5,2.5,8.67,1,0.8
2005,314,103,2,2,3,8.21,0,0.65
2006,330,115,5,4.5,3,9.34,1,0.9
2007,321,109,3,3,4,8.2,1,0.75
2008,308,101,2,3,4,7.9,0,0.68
2009,302,102,1,2,1.5,8,0,0.5
2010,323,108,3,3.5,3,8.6,0,0.45
2011,325,106,3,3.5,4,8.4,1,0.52
2012,327,111,4,4,4.5,9,1,0.84
2013,328,112,4,4,4.5,9.1,1,0.78
2014,307,109,3,4,3,8,1,0.62
2015,311,104,3,3.5,2,8.2,1,0.61
2016,314,105,3,3.5,2.5,8.3,0,0.54
2017,317,107,3,4,3,8.7,0,0.66
2018,319,106,3,4,3,8,1,0.65
2019,318,110,3,4,3,8.8,0,0.63
2020,303,102,3,3.5,3,8.5,0,0.62
2021,312,107,3,3,2,7.9,1,0.64
2022,325,114,4,3,2,8.4,0,0.7
2023,328,116,5,5,5,9.5,1,0.94
2024,334,119,5,5,4.5,9.7,1,0.95
2025,336,119,5,4,3.5,9.8,1,0.97
2026,340,120,5,4.5,4.5,9.6,1,0.94
2027,322,109,5,4.5,3.5,8.8,0,0.76
2028,298,98,2,1.5,2.5,7.5,1,0.44
2029,295,93,1,2,2,7.2,0,0.46
2030,310,99,2,1.5,2,7.3,0,0.54
2031,300,97,2,3,3,8.1,1,0.65
2032,327,103,3,4,4,8.3,1,0.74
2033,338,118,4,3,4.5,9.4,1,0.91
2034,340,114,5,4,4,9.6,1,0.9
2035,331,112,5,4,5,9.8,1,0.94
2036,320,110,5,5,5,9.2,1,0.88
2037,299,106,2,4,4,8.4,0,0.64
2038,300,105,1,1,2,7.8,0,0.58
2039,304,105,1,3,1.5,7.5,0,0.52
2040,307,108,2,4,3.5,7.7,0,0.48
2041,308,110,3,3.5,3,8,1,0.46
2042,316,105,2,2.5,2.5,8.2,1,0.49
2043,313,107,2,2.5,2,8.5,1,0.53
2044,332,117,4,4.5,4,9.1,0,0.87
2045,326,113,5,4.5,4,9.4,1,0.91
2046,322,110,5,5,4,9.1,1,0.88
2047,329,114,5,4,5,9.3,1,0.86
2048,339,119,5,4.5,4,9.7,0,0.89
2049,321,110,3,3.5,5,8.85,1,0.82
2050,327,111,4,3,4,8.4,1,0.78
2051,313,98,3,2.5,4.5,8.3,1,0.76
2052,312,100,2,1.5,3.5,7.9,1,0.56
2053,334,116,4,4,3,8,1,0.78
2054,324,112,4,4,2.5,8.1,1,0.72
2055,322,110,3,3,3.5,8,0,0.7
2056,320,103,3,3,3,7.7,0,0.64
2057,316,102,3,2,3,7.4,0,0.64
2058,298,99,2,4,2,7.6,0,0.46
2059,300,99,1,3,2,6.8,1,0.36
2060,311,104,2,2,2,8.3,0,0.42
2061,309,100,2,3,3,8.1,0,0.48
2062,307,101,3,4,3,8.2,0,0.47
2063,304,105,2,3,3,8.2,1,0.54
2064,315,107,2,4,3,8.5,1,0.56
2065,325,111,3,3,3.5,8.7,0,0.52
2066,325,112,4,3.5,3.5,8.92,0,0.55
2067,327,114,3,3,3,9.02,0,0.61
2068,316,107,2,3.5,3.5,8.64,1,0.57
2069,318,109,3,3.5,4,9.22,1,0.68
2070,328,115,4,4.5,4,9.16,1,0.78
2071,332,118,5,5,5,9.64,1,0.94
2072,336,112,5,5,5,9.76,1,0.96
2073,321,111,5,5,5,9.45,1,0.93
2074,314,108,4,4.5,4,9.04,1,0.84
2075,314,106,3,3,5,8.9,0,0.74
2076,329,114,2,2,4,8.56,1,0.72
2077,327,112,3,3,3,8.72,1,0.74
2078,301,99,2,3,2,8.22,0,0.64
2079,296,95,2,3,2,7.54,1,0.44
2080,294,93,1,1.5,2,7.36,0,0.46
2081,312,105,3,2,3,8.02,1,0.5
2082,340,120,4,5,5,9.5,1,0.96
2083,320,110,5,5,4.5,9.22,1,0.92
2084,322,115,5,4,4.5,9.36,1,0.92
2085,340,115,5,4.5,4.5,9.45,1,0.94
2086,319,103,4,4.5,3.5,8.66,0,0.76
2087,315,106,3,4.5,3.5,8.42,0,0.72
2088,317,107,2,3.5,3,8.28,0,0.66
2089,314,108,3,4.5,3.5,8.14,0,0.64
2090,316,109,4,4.5,3.5,8.76,1,0.74
2091,318,106,2,4,4,7.92,1,0.64
2092,299,97,3,5,3.5,7.66,0,0.38
2093,298,98,2,4,3,8.03,0,0.34
2094,301,97,2,3,3,7.88,1,0.44
2095,303,99,3,2,2.5,7.66,0,0.36
2096,304,100,4,1.5,2.5,7.84,0,0.42
2097,306,100,2,3,3,8,0,0.48
2098,331,120,3,4,4,8.96,1,0.86
2099,332,119,4,5,4.5,9.24,1,0.9
2100,323,113,3,4,4,8.88,1,0.79
2101,322,107,3,3.5,3.5,8.46,1,0.71
2102,312,105,2,2.5,3,8.12,0,0.64
2103,314,106,2,4,3.5,8.25,0,0.62
2104,317,104,2,4.5,4,8.47,0,0.57
2105,326,112,3,3.5,3,9.05,1,0.74
2106,316,110,3,4,4.5,8.78,1,0.69
2107,329,111,4,4.5,4.5,9.18,1,0.87
2108,338,117,4,3.5,4.5,9.46,1,0.91
2109,331,116,5,5,5,9.38,1,0.93
2110,304,103,5,5,4,8.64,0,0.68
2111,305,108,5,3,3,8.48,0,0.61
2112,321,109,4,4,4,8.68,1,0.69
2113,301,107,3,3.5,3.5,8.34,1,0.62
2114,320,110,2,4,3.5,8.56,0,0.72
2115,311,105,3,3.5,3,8.45,1,0.59
2116,310,106,4,4.5,4.5,9.04,1,0.66
2117,299,102,3,4,3.5,8.62,0,0.56
2118,290,104,4,2,2.5,7.46,0,0.45
2119,296,99,2,3,3.5,7.28,0,0.47
2120,327,104,5,3,3.5,8.84,1,0.71
2121,335,117,5,5,5,9.56,1,0.94
2122,334,119,5,4.5,4.5,9.48,1,0.94
2123,310,106,4,1.5,2.5,8.36,0,0.57
2124,308,108,3,3.5,3.5,8.22,0,0.61
2125,301,106,4,2.5,3,8.47,0,0.57
2126,300,100,3,2,3,8.66,1,0.64
2127,323,113,3,4,3,9.32,1,0.85
2128,319,112,3,2.5,2,8.71,1,0.78
2129,326,112,3,3.5,3,9.1,1,0.84
2130,333,118,5,5,5,9.35,1,0.92
2131,339,114,5,4,4.5,9.76,1,0.96
2132,303,105,5,5,4.5,8.65,0,0.77
2133,309,105,5,3.5,3.5,8.56,0,0.71
2134,323,112,5,4,4.5,8.78,0,0.79
2135,333,113,5,4,4,9.28,1,0.89
2136,314,109,4,3.5,4,8.77,1,0.82
2137,312,103,3,5,4,8.45,0,0.76
2138,316,100,2,1.5,3,8.16,1,0.71
2139,326,116,2,4.5,3,9.08,1,0.8
2140,318,109,1,3.5,3.5,9.12,0,0.78
2141,329,110,2,4,3,9.15,1,0.84
2142,332,118,2,4.5,3.5,9.36,1,0.9
2143,331,115,5,4,3.5,9.44,1,0.92
2144,340,120,4,4.5,4,9.92,1,0.97
2145,325,112,2,3,3.5,8.96,1,0.8
2146,320,113,2,2,2.5,8.64,1,0.81
2147,315,105,3,2,2.5,8.48,0,0.75
2148,326,114,3,3,3,9.11,1,0.83
2149,339,116,4,4,3.5,9.8,1,0.96
2150,311,106,2,3.5,3,8.26,1,0.79
2151,334,114,4,4,4,9.43,1,0.93
2152,332,116,5,5,5,9.28,1,0.94
2153,321,112,5,5,5,9.06,1,0.86
2154,324,105,3,3,4,8.75,0,0.79
2155,326,108,3,3,3.5,8.89,0,0.8
2156,312,109,3,3,3,8.69,0,0.77
2157,315,105,3,2,2.5,8.34,0,0.7
2158,309,104,2,2,2.5,8.26,0,0.65
2159,306,106,2,2,2.5,8.14,0,0.61
2160,297,100,1,1.5,2,7.9,0,0.52
2161,315,103,1,1.5,2,7.86,0,0.57
2162,298,99,1,1.5,3,7.46,0,0.53
2163,318,109,3,3,3,8.5,0,0.67
2164,317,105,3,3.5,3,8.56,0,0.68
2165,329,111,4,4.5,4,9.01,1,0.81
2166,322,110,5,4.5,4,8.97,0,0.78
2167,302,102,3,3.5,5,8.33,0,0.65
2168,313,102,3,2,3,8.27,0,0.64
2169,293,97,2,2,4,7.8,1,0.64
2170,311,99,2,2.5,3,7.98,0,0.65
2171,312,101,2,2.5,3.5,8.04,1,0.68
2172,334,117,5,4,4.5,9.07,1,0.89
2173,322,110,4,4,5,9.13,1,0.86
2174,323,113,4,4,4.5,9.23,1,0.89
2175,321,111,4,4,4,8.97,1,0.87
2176,320,111,4,4.5,3.5,8.87,1,0.85
2177,329,119,4,4.5,4.5,9.16,1,0.9
2178,319,110,3,3.5,3.5,9.04,0,0.82
2179,309,108,3,2.5,3,8.12,0,0.72
2180,307,102,3,3,3,8.27,0,0.73
2181,300,104,3,3.5,3,8.16,0,0.71
2182,305,107,2,2.5,2.5,8.42,0,0.71
2183,299,100,2,3,3.5,7.88,0,0.68
2184,314,110,3,4,4,8.8,0,0.75
2185,316,106,2,2.5,4,8.32,0,0.72
2186,327,113,4,4.5,4.5,9.11,1,0.89
2187,317,107,3,3.5,3,8.68,1,0.84
2188,335,118,5,4.5,3.5,9.44,1,0.93
2189,331,115,5,4.5,3.5,9.36,1,0.93
2190,324,112,5,5,5,9.08,1,0.88
2191,324,111,5,4.5,4,9.16,1,0.9
2192,323,110,5,4,5,8.98,1,0.87
2193,322,114,5,4.5,4,8.94,1,0.86
2194,336,118,5,4.5,5,9.53,1,0.94
2195,316,109,3,3.5,3,8.76,0,0.77
2196,307,107,2,3,3.5,8.52,1,0.78
2197,306,105,2,3,2.5,8.26,0,0.73
2198,310,106,2,3.5,2.5,8.33,0,0.73
2199,311,104,3,4.5,4.5,8.43,0,0.7
2200,313,107,3,4,4.5,8.69,0,0.72
2201,317,103,3,2.5,3,8.54,1,0.73
2202,315,110,2,3.5,3,8.46,1,0.72
2203,340,120,5,4.5,4.5,9.91,1,0.97
2204,334,120,5,4,5,9.87,1,0.97
2205,298,105,3,3.5,4,8.54,0,0.69
2206,295,99,2,2.5,3,7.65,0,0.57
2207,315,99,2,3.5,3,7.89,0,0.63
2208,310,102,3,3.5,4,8.02,1,0.66
2209,305,106,2,3,3,8.16,0,0.64
2210,301,104,3,3.5,4,8.12,1,0.68
2211,325,108,4,4.5,4,9.06,1,0.79
2212,328,110,4,5,4,9.14,1,0.82
2213,338,120,4,5,5,9.66,1,0.95
